customer_id,agg_claim_amount,year
0,2451.03,2022
1,0.87,2022
2,0.11,2022
3,1.22,2022
4,0.0,2022
5,0.17,2022
6,0.06,2022
7,0.06,2022
8,28645.52,2022
9,0.06,2022
0,25.03,2023
1,0.16,2023
2,2.9,2023
3,0.0,2023
4,0.0,2023
5,67.32,2023
6,2.05,2023
7,0.0,2023
8,6.82,2023
9,0.0,2023
0,25.03,2023
1,0.16,2023
2,2.9,2023
3,0.0,2023
4,0.0,2023
5,67.32,2023
6,2.05,2023
7,0.0,2023
8,6.82,2023
9,0.0,2023
0,73.98,2024
1,2.41,2024
2,0.01,2024
3,0.04,2024
4,0.2,2024
5,0.0,2024
6,150.75,2024
7,65.29,2024
8,0.93,2024
9,4.17,2024
